,small_image_url,book_id,title,year,pages,description,genres,average_rating,ratings_count,books_count,authors
3353,https://images.gr-assets.com/books/1473064526s/24812.jpg,3628,the complete calvin and hobbes,2005,1456.0,"    box set   book one  book two  book three calvin and hobbes is unquestionably one of the most popular comic strips of all time the imaginative world of a boy and his realonlytohim tiger was first syndicated in 1985 and appeared in more than 2400 newspapers when bill watterson retired on january 1 1996 the entire body of calvin and hobbes cartoons published in a truly noteworthy tribute to this singular cartoon in the complete calvin and hobbes composed of three hardcover fourcolor volumes in a sturdy slipcase this new york times bestselling edition includes all calvin and hobbes cartoons that ever appeared in syndication this is the treasure that all calvin and hobbes fans seek","comics, graphicnovels, fiction, classics",4.82,28900,14,Bill Watterson
3043,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,3275,"harry potter boxed set, books 1-5 (harry potter, #1-5)",2003,2690.0,box set containing harry potter and the sorcerers stone harry potter and the chamber of secrets harry potter and the prisoner of azkaban harry potter and the goblet of fire and harry potter and the order of the phoenix!,"fantasy, youngadult, fiction, classics",4.77,33220,11,J.K. Rowling
810,https://images.gr-assets.com/books/1391535251s/17332218.jpg,862,"words of radiance (the stormlight archive, #2)",2014,1087.0,words of radiance book two of the stormlight archive continues the immersive fantasy epic that the way of kings beganexpected by his enemies to die the miserable death of a military slave kaladin survived to be given command of the royal bodyguards a controversial first for a lowstatus darkeyes now he must protect the king and dalinar from every common peril as well as the distinctly uncommon threat of the assassin all while secretly struggling to master remarkable new powers that are somehow linked to his honorspren sylthe assassin szeth is active again murdering rulers all over the world of roshar using his baffling powers to thwart every bodyguard and elude all pursuers among his prime targets is highprince dalinar widely considered the power behind the alethi throne his leading role in the war would seem reason enough but the assassins master has much deeper motivesbrilliant but troubled shallan strives along a parallel path despite being broken in ways she refuses to acknowledge she bears a terrible burden to somehow prevent the return of the legendary voidbringers and the civilizationending desolation that will follow the secrets she needs can be found at the shattered plains but just arriving there proves more difficult than she could have imaginedmeanwhile at the heart of the shattered plains the parshendi are making an epochal decision hard pressed by years of alethi attacks their numbers ever shrinking they are convinced by their war leader eshonai to risk everything on a desperate gamble with the very supernatural forces they once fled the possible consequences for parshendi and humans alike indeed for roshar itself are as dangerous as they are incalculable,"fantasy, fiction",4.77,73572,34,Brandon Sanderson
6779,https://images.gr-assets.com/books/1410151002s/5031805.jpg,7947,esv study bible,2002,2750.0,the esv study bible was designed to help you understand the bible in a deeper way created by a diverse team of 95 leading bible scholars and teachersfrom 9 countries nearly 20 denominations and 50 seminaries colleges and universitiesthe esv study bible features a wide array of study tools making it a valuable resource for serious readers students and teachers of gods wordfeaturessize 65 x 925 9point lexicon type singlecolumn bible text; 7point frutiger type doublecolumn study notes 2752 pages black letter text concordance extensive articles 240 fullcolor maps and illustrations smythsewn binding lifetime guarantee packaging jcard hc clamshell box trutone and leather permanent slipcase cloth over board,"christian, nonfiction, religion, classics, history",4.76,8953,96,Anonymous
7403,https://images.gr-assets.com/books/1349032180s/95602.jpg,8854,mark of the lion trilogy,1993,1468.0,this bestselling trilogy chronicles a tale of persecution and perseverance of 1stcentury christians in hedonistic rome#1 a voice in the wind torn by her love for a handsome aristocrat a young slave girl clings to her faith in the living god for deliverance from the forces of decadent rome #2 an echo in the darkness turning away from the opulence of rome marcus is led by a whispering voice from the past into a journey that could set him free from the darkness of his soul #3 as sure as the dawn atretes german warrior revered gladiator he won his freedom through his fierceness    but his life is about to change forever,"christian, historicalfiction, fiction, romance, religion",4.76,9081,6,Francine Rivers
4068,https://images.gr-assets.com/books/1437420710s/24814.jpg,4483,it's a magical world: a calvin and hobbes collection,1996,176.0,when cartoonist bill watterson announced that his phenomenally popular cartoon strip would be discontinued calvin and hobbes fans throughout the world went into mourning fans have learned to survive  despite the absence of the boy and his tiger in the daily newspaper its a magical world delivers all the satisfaction of visiting its characters once more calvin fans will be able to see their favorite mischief maker stir it up with his furry friend longsuffering parents classmate susie derkins school teacher miss wormwood and rosalyn the babysitter its a magical world includes fullcolor sundays and has it all calvinturnedfirefly waking hobbes with his flashlight glow; courageous spaceman spiff rocketing through alien galaxies as he battles dadturnedbugbeing; and calvins always inspired snowman art theres no better way for watterson fans to savor again the special qualities of their favorite strip,"comics, graphicnovels, fiction",4.75,22351,21,Bill Watterson
387,https://images.gr-assets.com/books/1392579059s/862041.jpg,422,"harry potter boxset (harry potter, #1-7)",1998,4100.0,"over 4000 pages of harry potter and his world including all 7 books  all seven ebooks in the multiaward winning internationally bestselling harry potter series available as one download with stunning cover art by olly moss enjoy the stories that have captured the imagination of millions worldwide","fantasy, youngadult, fiction, classics",4.74,190050,76,J.K. Rowling
5593,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,6361,there's treasure everywhere: a calvin and hobbes collection,1996,176.0,in the world that calvin and his stuffed tiger hobbes share treasures can be found in the most unlikely places from the outer regions where spaceman spiff travels to the rocks in ones own backyard in the latest cartoon collection from the talented pen of bill watterson this curious duo roams their world ever in search of the fortunes and misfortunes! to be experienced color & black & white cartoons throughout,"comics, fiction, graphicnovels",4.74,16766,22,Bill Watterson
5767,https://images.gr-assets.com/books/1391114055s/59715.jpg,6590,the authoritative calvin and hobbes: a calvin and hobbes treasury,1990,254.0,a collection of calvin and hobbes cartoons the author won the 1986 reuben award as outstanding cartoonist of the year and has also illustrated something under the bed is drooling calvin and hobbes yukon ho! and weirdos from another planet,"comics, graphicnovels, fiction, classics",4.73,16087,21,Bill Watterson
3457,https://images.gr-assets.com/books/1328867351s/10.jpg,3753,"harry potter collection (harry potter, #1-6)",2005,3342.0,six years of magic adventure and mystery make this luxurious boxed set the perfect gift for harry potter fans of all ages follow harry from his first days at hogwarts school for witchcraft and wizardry through his many adventures with hermione and ron to his confrontations with rival draco malfoy and the dreaded professor snape from the thrilling search for the sorcerers stone to the triwizard tournament to the return of hewhomustnotbenamed each adventure is more riveting and exhilarating than its predecessor and now all six books are available together for the first time in an elegant hardcover boxed set,"fantasy, fiction, youngadult, classics",4.73,24618,6,J.K. Rowling
